timestamp,Vrms
0,0.98695
10,1.0049
20,1.00691
30,1.00183
40,1.00601
50,1.02478
60,1.02504
70,1.00069
80,1.02442
90,0.96649
100,0.99768
110,1.04352
120,1.02513
130,0.9978
140,1.03548
150,1.01019
160,1.04007
170,0.98572
180,0.98726
190,0.99724
200,0.96924
210,1.01781
220,0.95677
230,0.98914
240,0.96859
250,1.00851
260,1.00462
270,1.00527
280,1.00616
290,1.00447
300,1.0304
310,0.9992
320,0.98155
330,1.00979
340,0.9976
350,0.98342
360,0.98784
370,1.02577
380,1.01693
390,0.98491
400,0.99428
410,0.98706
420,1.02315
430,1.00356
440,0.96404
450,0.98685
460,1.0058
470,1.02359
480,1.02525
490,0.9866
500,0.97722
510,1.03884
520,1.00052
530,1.00947
540,0.96446
550,1.02004
560,0.97696
570,0.99622
580,0.99016
590,1.04119
600,0.97513
610,1.0429
620,0.9513
630,1.00411
640,1.02296
650,1.01634
660,0.97069
670,1.01169
680,1.3761
690,1.37054
700,1.24132
710,1.28632
720,1.22712
730,1.229
740,1.29597
750,1.29957
760,1.36885
770,1.28572
780,1.27258
790,1.23408
800,1.35993
810,1.27845
820,1.3078
830,0.97956
840,0.98068
850,1.00641
860,0.9925
870,1.00652
880,0.9827
890,0.98485
900,0.97991
910,0.96736
920,0.99431
930,1.0086
940,1.02414
950,0.98314
960,0.99512
970,1.01479
980,0.9807
990,0.99205
