timestamp,Vrms
0,1.03088
10,0.98048
20,0.97728
30,1.0463
40,0.99966
50,0.9894
60,0.98469
70,0.9796
80,1.00838
90,0.97186
100,0.99033
110,1.00027
120,0.98647
130,1.02705
140,1.02712
150,1.00034
160,0.95667
170,1.00673
180,0.99551
190,0.98598
200,1.01089
210,0.99742
220,0.97572
230,1.02367
240,1.00928
250,1.00281
260,1.01587
270,0.98852
280,0.98222
290,1.01346
300,0.98692
310,1.0175
320,1.0205
330,0.99996
340,1.03936
350,0.99768
360,0.97341
370,0.98631
380,0.99665
390,0.99177
400,0.97159
410,1.01338
420,0.991
430,1.01745
440,1.00463
450,0.9847
460,1.02115
470,0.99994
480,0.97633
490,0.98896
500,1.01577
510,1.00235
520,0.97318
530,0.99802
540,0.96966
550,1.00247
560,0.98999
570,1.00245
580,1.02445
590,0.97212
600,0.99014
610,1.00402
620,0.99172
630,1.01175
640,1.02458
650,1.01192
660,1.02493
670,0.99864
680,0.99314
690,1.01492
700,0.96502
710,1.30883
720,1.3047
730,1.36822
740,1.39256
750,1.38194
760,1.38741
770,1.28813
780,1.26586
790,1.38354
800,0.99454
810,1.00435
820,0.99863
830,1.02967
840,1.01484
850,0.98436
860,1.00856
870,1.00571
880,1.0076
890,0.97252
900,1.01206
910,0.97238
920,0.98478
930,1.01361
940,1.01542
950,0.99707
960,1.01395
970,1.00037
980,0.98981
990,0.98845
