timestamp,Vrms
0,1.12696
10,1.12511
20,1.10909
30,1.14059
40,1.11533
50,1.10891
60,1.36963
70,1.14872
80,1.13969
90,1.08138
100,1.16076
110,1.12427
120,1.11478
130,1.12474
140,1.11265
150,1.15327
160,1.2467
170,1.1507
180,1.41096
190,1.12179
200,1.14784
210,1.46631
220,1.34389
230,1.13108
240,1.13339
250,1.13598
260,1.49366
270,1.11185
280,1.16301
290,1.11587
300,1.34348
310,1.11878
320,1.11155
330,1.12398
340,1.11809
350,1.08985
360,1.09339
370,1.11321
380,1.10391
390,1.48838
400,1.49972
410,1.35508
420,1.25643
430,1.12802
440,1.12648
450,1.12074
460,1.13788
470,1.12236
480,1.1003
490,1.12657
500,1.12257
510,1.12854
520,1.26304
530,1.12122
540,1.12991
550,1.07485
560,1.11044
570,1.10048
580,1.09234
590,1.12571
600,1.11666
610,1.08488
620,1.10948
630,1.09869
640,1.12537
650,1.10834
660,1.40715
670,1.15619
680,1.08913
690,1.13202
700,1.11246
710,1.15163
720,1.14587
730,1.13255
740,1.11553
750,1.11299
760,1.14976
770,1.10931
780,1.08336
790,1.3914
800,1.12174
810,1.09727
820,1.20385
830,1.30848
840,1.27128
850,1.13332
860,1.12152
870,1.35719
880,1.10977
890,1.13666
900,1.09761
910,1.11176
920,1.44156
930,1.11746
940,1.10741
950,1.10899
960,1.1025
970,1.42855
980,1.11638
990,1.1027
