timestamp,Vrms
0,1.11006
10,1.06768
20,1.10186
30,1.08095
40,1.09332
50,1.06756
60,1.06505
70,1.04944
80,1.09874
90,1.04994
100,1.06963
110,1.09264
120,1.3434
130,1.07411
140,1.08364
150,1.12637
160,1.09621
170,1.1712
180,1.06553
190,1.08015
200,1.2368
210,1.09346
220,1.10298
230,1.09329
240,1.09063
250,1.37717
260,1.09742
270,1.09646
280,1.11377
290,1.07804
300,1.13025
310,1.11488
320,1.33655
330,1.2667
340,1.07597
350,1.08604
360,1.10242
370,1.34928
380,1.06329
390,1.11034
400,1.07994
410,1.08285
420,1.11369
430,1.09261
440,1.2182
450,1.07271
460,1.10852
470,1.10397
480,1.29042
490,1.07
500,1.26064
510,1.05896
520,1.12754
530,1.09416
540,1.09323
550,1.06642
560,1.0795
570,1.06428
580,1.10435
590,1.08378
600,1.28319
610,1.13064
620,1.3229
630,1.08953
640,1.05497
650,1.27729
660,1.11156
670,1.0758
680,1.14241
690,1.13096
700,1.12765
710,1.25491
720,1.07359
730,1.06711
740,1.09867
750,1.10004
760,1.06633
770,1.13029
780,1.12384
790,1.08739
800,1.3064
810,1.09097
820,1.04196
830,1.05222
840,1.05291
850,1.10414
860,1.24828
870,1.06549
880,1.07052
890,1.0855
900,1.08341
910,1.05973
920,1.11572
930,1.08439
940,1.12296
950,1.07341
960,1.05954
970,1.18521
980,1.05991
990,1.10251
