timestamp,Vrms
0,1.03383
10,1.10957
20,1.0914
30,1.06332
40,1.02205
50,1.08728
60,1.10565
70,1.07479
80,0.99176
90,1.06579
100,1.13528
110,1.08689
120,1.00489
130,1.07442
140,1.10571
150,1.06066
160,1.02903
170,1.0496
180,1.10684
190,1.08864
200,1.04039
210,1.05053
220,1.09318
230,1.09894
240,1.06355
250,1.01315
260,1.10001
270,1.10531
280,1.07734
290,0.99167
300,1.0574
310,1.11742
320,1.08792
330,1.02481
340,1.07031
350,1.08556
360,1.09576
370,1.00645
380,1.05223
390,1.08533
400,1.1077
410,1.05902
420,1.02175
430,1.09158
440,1.12245
450,1.04204
460,1.02045
470,1.08313
480,1.1207
490,1.0552
500,1.0056
510,1.08385
520,1.12529
530,1.07812
540,1.01908
550,1.07946
560,1.0845
570,1.09662
580,1.04185
590,1.04153
600,1.08463
610,1.11643
620,1.06699
630,1.04677
640,1.07763
650,1.10074
660,1.08398
670,1.02949
680,1.07692
690,1.08761
700,1.07886
710,1.02504
720,1.07294
730,1.12093
740,1.11775
750,1.02348
760,1.03697
770,1.08529
780,1.09831
790,1.05918
800,1.05602
810,1.09693
820,1.10545
830,1.05894
840,1.03237
850,1.07405
860,1.10643
870,1.07326
880,1.00102
890,1.09641
900,1.09569
910,1.11872
920,1.00996
930,1.04746
940,1.09577
950,1.10401
960,1.03538
970,1.05803
980,1.08786
990,1.07993
