timestamp,Vrms
0,1.11723
10,1.00774
20,1.11153
30,1.17267
40,1.12242
50,1.01064
60,1.09799
70,1.15696
80,1.14545
90,1.03848
100,1.07257
110,1.16638
120,1.16138
130,1.06073
140,1.08006
150,1.16479
160,1.18057
170,1.08759
180,1.04579
190,1.15257
200,1.16568
210,1.10458
220,1.0403
230,1.126
240,1.18163
250,1.12712
260,1.01966
270,1.10247
280,1.16596
290,1.15543
300,1.03822
310,1.0683
320,1.17054
330,1.15585
340,1.06684
350,1.07258
360,1.16513
370,1.16811
380,1.08552
390,1.03535
400,1.14269
410,1.16573
420,1.09119
430,1.02931
440,1.14597
450,1.18257
460,1.11713
470,0.99775
480,1.11455
490,1.18687
500,1.14432
510,1.0438
520,1.09009
530,1.17045
540,1.14138
550,1.03825
560,1.07633
570,1.16221
580,1.15928
590,1.06026
600,1.05671
610,1.15226
620,1.18037
630,1.1015
640,1.01853
650,1.14519
660,1.17045
670,1.1305
680,1.00597
690,1.12051
700,1.17313
710,1.1195
720,1.03046
730,1.12649
740,1.15811
750,1.14613
760,1.04181
770,1.08024
780,1.17983
790,1.17221
800,1.06407
810,1.08286
820,1.15942
830,1.16707
840,1.09124
850,1.03272
860,1.16038
870,1.1807
880,1.10578
890,1.01354
900,1.12294
910,1.1795
920,1.11533
930,1.00948
940,1.1088
950,1.18104
960,1.15317
970,1.04141
980,1.09247
990,1.16429
