timestamp,Vrms
0,1.30868
10,1.28855
20,1.29701
30,1.29994
40,1.31712
50,1.3219
60,1.31991
70,1.35797
80,1.35893
90,1.3802
100,1.3906
110,1.39785
120,1.44306
130,1.45171
140,1.45224
150,1.44802
160,1.42921
170,1.41202
180,1.42458
190,1.41533
200,1.39218
210,1.37493
220,1.36143
230,1.3373
240,1.33271
250,1.31604
260,1.31411
270,1.30608
280,1.28314
290,1.30345
300,1.28703
310,1.30853
320,1.29872
330,1.29541
340,1.32349
350,1.3664
360,1.3722
370,1.37335
380,1.38143
390,1.40946
400,1.39836
410,1.42224
420,1.42777
430,1.44088
440,1.43897
450,1.43034
460,1.4215
470,1.43772
480,1.41196
490,1.39509
500,1.38139
510,1.38071
520,1.34747
530,1.33924
540,1.33034
550,1.31421
560,1.28676
570,1.30234
580,1.29545
590,1.30053
600,1.2941
610,1.30392
620,1.30989
630,1.33141
640,1.33629
650,1.34738
660,1.365
670,1.38848
680,1.38563
690,1.41398
700,1.3849
710,1.41925
720,1.44189
730,1.42263
740,1.43216
750,1.44841
760,1.41487
770,1.39713
780,1.39916
790,1.3854
800,1.37601
810,1.35167
820,1.36315
830,1.32846
840,1.30506
850,1.31318
860,1.2991
870,1.2713
880,1.28681
890,1.29203
900,1.30369
910,1.30258
920,1.30947
930,1.33179
940,1.33882
950,1.35748
960,1.3795
970,1.3849
980,1.41026
990,1.41882
