timestamp,Vrms
0,1.40886
10,1.36194
20,1.38044
30,1.36193
40,1.36366
50,1.3462
60,1.34641
70,1.38962
80,1.38931
90,1.39087
100,1.44209
110,1.44057
120,1.48434
130,1.50128
140,1.5325
150,1.49781
160,1.53779
170,1.55009
180,1.56034
190,1.59026
200,1.5301
210,1.55426
220,1.53942
230,1.52564
240,1.46453
250,1.48745
260,1.45938
270,1.44424
280,1.40061
290,1.36834
300,1.38452
310,1.41343
320,1.36399
330,1.38028
340,1.38503
350,1.3819
360,1.38149
370,1.39878
380,1.40939
390,1.4265
400,1.45159
410,1.46313
420,1.48766
430,1.4945
440,1.51515
450,1.52196
460,1.5197
470,1.55197
480,1.54587
490,1.5383
500,1.52892
510,1.55818
520,1.56284
530,1.49176
540,1.50738
550,1.46743
560,1.46782
570,1.42739
580,1.40386
590,1.4013
600,1.38929
610,1.38639
620,1.36646
630,1.35722
640,1.36944
650,1.34648
660,1.40128
670,1.39672
680,1.41202
690,1.42262
700,1.41317
710,1.48374
720,1.46799
730,1.48977
740,1.51645
750,1.53194
760,1.55194
770,1.54826
780,1.56691
790,1.55072
800,1.5175
810,1.53472
820,1.52879
830,1.50768
840,1.47739
850,1.45787
860,1.46536
870,1.42744
880,1.42947
890,1.38966
900,1.3921
910,1.33397
920,1.38111
930,1.36124
940,1.37464
950,1.37355
960,1.40262
970,1.39227
980,1.42147
990,1.43935
